nome,categoriaAlimentare,colore,consistenza,origine,stagionalita,provenienza_geografica,metodo_produzione,livello_trasformazione,peso_medio_g,durata_conservazione_giorni,prezzo_per_kg,contenuto_acqua_perc,densita_nutrizionale_kcal100g,indice_glicemico
Pomodoro San Marzano,Vegetale,rosso,morbido,vegetale,estate,mediterraneo,biologico,minimamente_lavorato,80.0,7.0,4.5,94.5,18.0,10.0
Parmigiano Reggiano 24 mesi,Latticini,giallo,compatto,animale,tutto_anno,locale,tradizionale,lavorato,1000.0,90.0,32.0,32.0,431.0,0.0
Prosciutto di Parma,Carne,rosa,compatto,animale,tutto_anno,locale,tradizionale,lavorato,500.0,60.0,28.0,63.0,335.0,0.0
Olio Extra Vergine Toscano,Vegetale,verde_dorato,oleoso,vegetale,autunno,locale,biologico,minimamente_lavorato,500.0,720.0,12.0,0.2,884.0,0.0
Basilico Genovese DOP,Vegetale,verde,morbido,vegetale,estate,mediterraneo,biologico,crudo,15.0,3.0,8.0,92.1,22.0,5.0
Mozzarella di Bufala Campana,Latticini,bianco,morbido,animale,tutto_anno,locale,tradizionale,minimamente_lavorato,250.0,3.0,18.0,83.0,253.0,0.0
Risotto Carnaroli,Cereali,bianco_perla,granulare,vegetale,tutto_anno,locale,tradizionale,lavorato,1000.0,1095.0,3.2,12.8,330.0,69.0
Salmone Norvegese Selvaggio,Carne,arancione,compatto,marino,tutto_anno,nordico,selvatico,crudo,800.0,2.0,24.0,68.5,208.0,0.0
Funghi Porcini Freschi,Vegetale,marrone,spugnoso,selvatico,autunno,montano,selvatico,crudo,150.0,3.0,15.0,92.5,26.0,15.0
Tartufo Nero Umbro,Vegetale,nero,compatto,selvatico,inverno,collinare,selvatico,crudo,50.0,7.0,800.0,75.0,31.0,5.0
Grana Padano 18 mesi,Latticini,giallo_oro,granulare,animale,tutto_anno,locale,tradizionale,lavorato,1000.0,120.0,26.0,28.4,384.0,0.0
Bresaola della Valtellina,Carne,rosso_scuro,compatto,animale,tutto_anno,alpino,tradizionale,essiccato,200.0,90.0,45.0,62.8,151.0,0.0
Pecorino Romano,Latticini,bianco_crema,compatto,animale,tutto_anno,locale,tradizionale,lavorato,800.0,180.0,22.0,30.9,387.0,0.0
Aceto Balsamico Modena IGP,Vegetale,marrone_scuro,viscoso,vegetale,tutto_anno,locale,tradizionale,fermentato,250.0,1825.0,18.0,76.0,88.0,27.0
Melanzane Siciliane,Vegetale,viola_scuro,spugnoso,vegetale,estate,mediterraneo,biologico,crudo,300.0,7.0,2.8,92.7,18.0,15.0
Limoni di Sorrento IGP,Frutta,giallo,compatto,vegetale,inverno,mediterraneo,biologico,crudo,120.0,21.0,3.5,89.0,29.0,25.0
Carciofi Romani,Vegetale,verde,fibroso,vegetale,primavera,mediterraneo,biologico,crudo,200.0,5.0,4.2,84.9,47.0,5.0
Peperoncino Calabrese,Vegetale,rosso_vivo,piccante,vegetale,estate,mediterraneo,tradizionale,essiccato,5.0,365.0,12.0,88.0,40.0,10.0
Farro Toscano IGP,Cereali,marrone_chiaro,granulare,vegetale,tutto_anno,collinare,biologico,lavorato,1000.0,720.0,4.5,10.1,335.0,45.0
Mandorle di Avola,Frutta,marrone,croccante,vegetale,estate,mediterraneo,tradizionale,essiccato,100.0,180.0,28.0,4.7,579.0,15.0
Speck Alto Adige,Carne,rosso_rosa,compatto,animale,tutto_anno,alpino,tradizionale,affumicato,300.0,120.0,32.0,55.0,300.0,0.0
Ricotta di Pecora Sarda,Latticini,bianco,cremoso,animale,primavera,insulare,tradizionale,minimamente_lavorato,500.0,3.0,8.5,71.7,146.0,0.0
Polpo del Mediterraneo,Carne,grigio_rosa,elastico,marino,autunno,costiero,pesca_sostenibile,crudo,600.0,2.0,18.0,80.3,82.0,0.0
Baccalà Norvegese,Carne,bianco,fibroso,marino,tutto_anno,nordico,tradizionale,conservato,400.0,365.0,15.0,82.0,95.0,0.0
Capperi di Pantelleria,Vegetale,verde_scuro,granuloso,vegetale,estate,insulare,tradizionale,conservato,20.0,730.0,8.0,84.0,23.0,5.0
Zafferano dell'Aquila,Vegetale,rosso_oro,filamentoso,vegetale,autunno,montano,tradizionale,essiccato,1.0,1095.0,3500.0,11.9,310.0,5.0
Pancetta di Mora Romagnola,Carne,bianco_rosa,compatto,animale,tutto_anno,locale,tradizionale,stagionato,250.0,90.0,18.0,45.2,337.0,0.0
Burrata Pugliese,Latticini,bianco,cremoso,animale,tutto_anno,locale,tradizionale,minimamente_lavorato,200.0,2.0,12.0,75.0,330.0,0.0
Olive Taggiasche,Frutta,verde_nero,carnoso,vegetale,autunno,mediterraneo,tradizionale,conservato,50.0,365.0,15.0,65.3,150.0,15.0
Guanciale di Amatrice,Carne,bianco_rosa,compatto,animale,tutto_anno,locale,tradizionale,stagionato,200.0,60.0,22.0,42.5,451.0,0.0
Vongole Veraci Campane,Carne,bianco_grigio,morbido,marino,primavera,costiero,pesca_sostenibile,crudo,80.0,1.0,25.0,82.0,74.0,0.0
Rucola Selvatica,Vegetale,verde_scuro,fibroso,selvatico,primavera,mediterraneo,selvatico,crudo,30.0,3.0,6.0,91.7,25.0,5.0
Caciocavallo Silano,Latticini,giallo_paglierino,elastico,animale,tutto_anno,locale,tradizionale,lavorato,600.0,90.0,16.0,38.6,375.0,0.0
Tonno Rosso Siciliano,Carne,rosso_scuro,compatto,marino,estate,mediterraneo,pesca_sostenibile,crudo,2000.0,2.0,35.0,68.0,144.0,0.0
Pinoli di Pino Domestico,Frutta,bianco_crema,oleaginoso,vegetale,autunno,mediterraneo,tradizionale,crudo,30.0,365.0,65.0,5.0,673.0,15.0
Aglio Rosso di Nubia,Vegetale,rosso_viola,compatto,vegetale,estate,mediterraneo,tradizionale,essiccato,40.0,240.0,8.0,65.0,149.0,30.0
Castagne del Mugello IGP,Frutta,marrone,farinoso,vegetale,autunno,montano,tradizionale,crudo,200.0,30.0,4.5,52.0,196.0,60.0
Mortadella Bologna IGP,Carne,rosa,morbido,animale,tutto_anno,locale,tradizionale,lavorato,500.0,45.0,24.0,57.3,288.0,0.0
Provola Affumicata Silana,Latticini,giallo_oro,elastico,animale,tutto_anno,montano,tradizionale,affumicato,400.0,21.0,14.0,52.0,365.0,0.0
Radicchio di Treviso IGP,Vegetale,rosso_bordeaux,croccante,vegetale,inverno,locale,tradizionale,crudo,300.0,10.0,3.2,93.8,14.0,10.0
Nduja di Spilinga,Carne,rosso_piccante,pastoso,animale,tutto_anno,locale,tradizionale,fermentato,150.0,90.0,28.0,45.0,425.0,5.0
Scamorza di Agerola,Latticini,bianco_dorato,elastico,animale,tutto_anno,locale,tradizionale,lavorato,300.0,14.0,13.5,55.0,334.0,0.0
Lamponi di Bosco,Frutta,rosso_vivo,morbido,selvatico,estate,montano,selvatico,crudo,100.0,2.0,18.0,85.8,52.0,25.0
Fichi d'India Siciliani,Frutta,arancione,polposo,vegetale,estate,mediterraneo,tradizionale,crudo,150.0,7.0,2.5,83.2,53.0,35.0
Asparagi di Altedo IGP,Vegetale,verde_bianco,fibroso,vegetale,primavera,locale,biologico,crudo,150.0,3.0,8.5,93.2,20.0,15.0
Cozze di Taranto,Carne,nero_arancione,morbido,marino,tutto_anno,costiero,acquacoltura,crudo,100.0,1.0,8.0,82.0,84.0,0.0
Salame di Felino IGP,Carne,rosso_rosa,compatto,animale,tutto_anno,locale,tradizionale,stagionato,200.0,120.0,32.0,42.5,376.0,0.0
Gorgonzola DOP,Latticini,bianco_blu,cremoso,animale,tutto_anno,locale,tradizionale,fermentato,400.0,30.0,16.0,42.4,330.0,0.0
Gamberi Rossi di Mazara,Carne,rosso_arancione,elastico,marino,tutto_anno,mediterraneo,pesca_sostenibile,crudo,80.0,1.0,45.0,78.0,106.0,0.0
Castagne di Cuneo IGP,Frutta,marrone_lucido,farinoso,vegetale,autunno,alpino,tradizionale,crudo,180.0,45.0,6.0,48.7,213.0,54.0
Finocchi di Isola Capo Rizzuto IGP,Vegetale,bianco_verde,croccante,vegetale,inverno,mediterraneo,biologico,crudo,400.0,10.0,2.8,90.7,31.0,5.0
Taleggio DOP,Latticini,bianco_venato,cremoso,animale,tutto_anno,alpino,tradizionale,lavorato,300.0,30.0,18.0,45.0,315.0,0.0
Fontina Valle Aosta DOP,Latticini,giallo_paglierino,semi_compatto,animale,tutto_anno,alpino,tradizionale,lavorato,400.0,60.0,22.0,40.5,389.0,0.0
Asiago DOP,Latticini,giallo_chiaro,compatto,animale,tutto_anno,montano,tradizionale,lavorato,500.0,120.0,20.0,35.0,371.0,0.0
Provolone Valpadana DOP,Latticini,giallo_oro,compatto,animale,tutto_anno,locale,tradizionale,lavorato,800.0,90.0,19.0,42.0,351.0,0.0
Coppa di Parma IGP,Carne,rosso_intenso,compatto,animale,tutto_anno,locale,tradizionale,stagionato,180.0,120.0,35.0,35.0,298.0,0.0
Salame Piacentino DOP,Carne,rosso_vivo,compatto,animale,tutto_anno,locale,tradizionale,stagionato,250.0,90.0,28.0,30.5,425.0,0.0
Culatello di Zibello DOP,Carne,rosso_rubino,compatto,animale,tutto_anno,locale,tradizionale,stagionato,300.0,180.0,65.0,40.0,217.0,0.0
Olio Extravergine Umbria DOP,Vegetale,verde_intenso,oleoso,vegetale,autunno,collinare,biologico,minimamente_lavorato,500.0,720.0,15.0,0.1,884.0,0.0
Olio Terra di Bari DOP,Vegetale,verde_dorato,oleoso,vegetale,autunno,mediterraneo,tradizionale,minimamente_lavorato,500.0,720.0,18.0,0.2,884.0,0.0
Cipolla Rossa di Tropea IGP,Vegetale,rosso_viola,compatto,vegetale,estate,mediterraneo,tradizionale,crudo,120.0,60.0,3.2,89.1,40.0,10.0
Pomodori Pachino IGP,Vegetale,rosso_brillante,carnoso,vegetale,estate,mediterraneo,biologico,crudo,50.0,7.0,5.5,94.0,18.0,10.0
Peperoni di Senise IGP,Vegetale,rosso_cremisi,carnoso,vegetale,estate,mediterraneo,tradizionale,essiccato,15.0,365.0,25.0,10.5,282.0,10.0
Riso Nano Vialone Veronese IGP,Cereali,bianco_perlato,granulare,vegetale,tutto_anno,locale,tradizionale,lavorato,1000.0,1095.0,4.8,12.0,330.0,87.0
Fagioli di Lamon IGP,Legumi,bianco_screziato,granulare,vegetale,autunno,montano,tradizionale,essiccato,1000.0,365.0,8.5,11.0,333.0,30.0
Lenticchie di Castelluccio IGP,Legumi,verde_marrone,granulare,vegetale,estate,montano,biologico,essiccato,1000.0,730.0,12.0,11.5,353.0,25.0
Nocciole Piemonte IGP,Frutta,marrone_chiaro,croccante,vegetale,autunno,collinare,tradizionale,essiccato,100.0,365.0,32.0,5.3,628.0,15.0
Pistacchi di Bronte DOP,Frutta,verde_viola,croccante,vegetale,autunno,vulcanico,tradizionale,essiccato,50.0,365.0,85.0,4.2,562.0,15.0
Kiwi Latina IGP,Frutta,verde_marrone,morbido,vegetale,inverno,mediterraneo,biologico,crudo,90.0,30.0,4.2,83.0,61.0,50.0
Acciughe di Monterosso,Carne,argento_blu,morbido,marino,primavera_estate,costiero,pesca_sostenibile,conservato,80.0,365.0,18.0,70.0,131.0,0.0
Bottarga di Muggine Sarda,Carne,ambra_dorato,compatto,marino,tutto_anno,insulare,tradizionale,conservato,100.0,180.0,120.0,25.0,373.0,0.0
Seppia del Tirreno,Carne,bianco_grigio,elastico,marino,autunno_inverno,costiero,pesca_sostenibile,crudo,400.0,2.0,16.0,81.0,72.0,0.0
Origano Siciliano,Vegetale,verde_grigio,secco,vegetale,estate,mediterraneo,tradizionale,essiccato,10.0,365.0,15.0,9.9,265.0,5.0
Rosmarino Toscano,Vegetale,verde_intenso,aghiforme,vegetale,tutto_anno,collinare,biologico,crudo,20.0,14.0,8.0,67.8,131.0,5.0
Salvia di Lerici,Vegetale,verde_argenteo,vellutato,vegetale,tutto_anno,collinare,tradizionale,crudo,15.0,7.0,12.0,85.0,315.0,5.0
Zucchina,Vegetale,verde,morbido,vegetale,estate,locale,biologico,crudo,200.0,7.0,2.5,94.6,17.0,15.0
Carota,Vegetale,arancione,croccante,vegetale,tutto_anno,locale,convenzionale,crudo,100.0,14.0,1.5,88.3,41.0,35.0
Patata,Vegetale,giallo,farinoso,vegetale,tutto_anno,locale,convenzionale,crudo,150.0,30.0,1.2,79.3,77.0,78.0
Cipolla Dorata,Vegetale,dorato,compatto,vegetale,tutto_anno,locale,convenzionale,crudo,150.0,60.0,1.4,89.1,40.0,10.0
Lattuga Romana,Vegetale,verde,croccante,vegetale,primavera,locale,biologico,crudo,300.0,5.0,3.0,94.9,17.0,15.0
Spinaci Freschi,Vegetale,verde_scuro,morbido,vegetale,primavera,locale,biologico,crudo,200.0,4.0,5.0,91.4,23.0,15.0
Broccoli,Vegetale,verde,compatto,vegetale,inverno,locale,biologico,crudo,500.0,7.0,3.5,89.3,34.0,15.0
Cavolfiore,Vegetale,bianco,compatto,vegetale,inverno,locale,convenzionale,crudo,800.0,10.0,2.8,92.1,25.0,15.0
Sedano,Vegetale,verde_chiaro,fibroso,vegetale,tutto_anno,locale,convenzionale,crudo,400.0,14.0,2.2,95.4,16.0,15.0
Finocchio,Vegetale,bianco,croccante,vegetale,inverno,locale,biologico,crudo,350.0,10.0,2.5,90.2,31.0,15.0
Mela Golden,Frutta,giallo_verde,croccante,vegetale,autunno,locale,biologico,crudo,180.0,30.0,2.8,85.6,52.0,38.0
Pera Williams,Frutta,verde_giallo,morbido,vegetale,estate,locale,convenzionale,crudo,150.0,10.0,3.2,84.0,57.0,38.0
Banana,Frutta,giallo,morbido,vegetale,tutto_anno,tropicale,convenzionale,crudo,120.0,5.0,1.8,74.9,89.0,51.0
Arancia Tarocco,Frutta,rosso_arancio,polposo,vegetale,inverno,mediterraneo,biologico,crudo,200.0,14.0,2.5,86.8,47.0,40.0
Uva Bianca,Frutta,verde_giallo,succoso,vegetale,autunno,locale,convenzionale,crudo,5.0,7.0,4.0,81.5,69.0,53.0
Fragole,Frutta,rosso,morbido,vegetale,primavera,locale,biologico,crudo,20.0,3.0,8.0,90.9,32.0,40.0
Mirtilli,Frutta,blu_viola,morbido,selvatico,estate,montano,selvatico,crudo,2.0,5.0,15.0,84.2,57.0,25.0
Avocado Hass,Frutta,verde_nero,cremoso,vegetale,tutto_anno,subtropicale,biologico,crudo,180.0,5.0,7.0,73.2,160.0,10.0
Petto di Pollo,Carne,bianco_rosa,fibroso,animale,tutto_anno,locale,allevamento,crudo,500.0,3.0,12.0,74.8,165.0,0.0
Salsiccia di Maiale,Carne,rosa,morbido,animale,tutto_anno,locale,tradizionale,lavorato,120.0,4.0,10.0,55.0,330.0,0.0
Macinato di Manzo,Carne,rosso,granulare,animale,tutto_anno,locale,allevamento,crudo,400.0,2.0,14.0,65.0,250.0,0.0
Agnello (costolette),Carne,rosa_chiaro,compatto,animale,primavera,locale,allevamento,crudo,100.0,3.0,25.0,58.0,282.0,0.0
Merluzzo,Carne,bianco,sfogliabile,marino,tutto_anno,atlantico,pesca_sostenibile,crudo,300.0,2.0,18.0,81.2,82.0,0.0
Orata,Carne,argento,compatto,marino,tutto_anno,mediterraneo,acquacoltura,crudo,400.0,2.0,16.0,77.0,96.0,0.0
Uova di Gallina,Uova,bianco_giallo,liquido_solido,animale,tutto_anno,locale,allevamento_a_terra,crudo,60.0,28.0,4.5,76.1,155.0,0.0
Latte Intero,Latticini,bianco,liquido,animale,tutto_anno,locale,pastorizzato,minimamente_lavorato,1000.0,5.0,1.8,87.8,61.0,30.0
Yogurt Bianco Naturale,Latticini,bianco,cremoso,animale,tutto_anno,locale,fermentato,lavorato,125.0,21.0,3.5,88.0,59.0,27.0
Burro,Latticini,giallo_chiaro,solido,animale,tutto_anno,locale,tradizionale,lavorato,250.0,90.0,12.0,17.9,717.0,0.0
Panna Fresca,Latticini,bianco,liquido,animale,tutto_anno,locale,pastorizzato,minimamente_lavorato,250.0,7.0,8.0,58.5,340.0,0.0
Ceci Secchi,Legumi,beige,granulare,vegetale,tutto_anno,mediterraneo,convenzionale,essiccato,1000.0,730.0,4.0,11.2,364.0,28.0
Fagioli Borlotti Secchi,Legumi,screziato,granulare,vegetale,tutto_anno,locale,biologico,essiccato,1000.0,730.0,5.0,10.5,335.0,40.0
Piselli Surgelati,Legumi,verde,granulare,vegetale,tutto_anno,locale,convenzionale,surgelato,450.0,540.0,4.5,78.9,81.0,51.0
Farina 00,Cereali,bianco,polveroso,vegetale,tutto_anno,locale,industriale,raffinato,1000.0,365.0,1.2,15.4,364.0,85.0
Pasta di Semola,Cereali,giallo_paglierino,compatto,vegetale,tutto_anno,locale,industriale,lavorato,500.0,1095.0,1.5,12.5,359.0,55.0
Riso Basmati,Cereali,bianco,granulare,vegetale,tutto_anno,asiatico,convenzionale,lavorato,1000.0,1095.0,3.0,12.0,365.0,58.0
Pane Comune,Cereali,marrone_chiaro,morbido,vegetale,tutto_anno,locale,tradizionale,lavorato,500.0,3.0,3.5,35.7,265.0,75.0
Quinoa,Cereali,bianco_giallo,granulare,vegetale,tutto_anno,andino,biologico,minimamente_lavorato,500.0,730.0,8.0,13.3,368.0,53.0
Avena in fiocchi,Cereali,beige,schiacciato,vegetale,tutto_anno,globale,convenzionale,lavorato,500.0,365.0,3.8,10.2,389.0,55.0
Noci,Frutta,marrone,croccante,vegetale,autunno,locale,tradizionale,essiccato,100.0,180.0,20.0,4.1,654.0,15.0
Arachidi,Legumi,marrone_chiaro,croccante,vegetale,estate,globale,convenzionale,tostato,250.0,365.0,6.0,6.5,567.0,14.0
Semi di Girasole,Semi,grigio_bianco,croccante,vegetale,estate,globale,biologico,essiccato,150.0,365.0,5.0,4.7,584.0,35.0
Semi di Zucca,Semi,verde_scuro,croccante,vegetale,autunno,locale,biologico,essiccato,150.0,365.0,8.0,5.2,559.0,25.0
Semi di Lino,Semi,marrone,granulare,vegetale,tutto_anno,globale,biologico,essiccato,200.0,365.0,4.5,6.9,534.0,0.0
Zucchero Bianco,Dolcificanti,bianco,cristallino,vegetale,tutto_anno,globale,industriale,raffinato,1000.0,1825.0,1.2,0.0,387.0,65.0
Miele di Acacia,Dolcificanti,giallo_chiaro,viscoso,animale,primavera,locale,tradizionale,minimamente_lavorato,500.0,1095.0,15.0,17.1,304.0,58.0
Cioccolato Fondente 70%,Dolci,marrone_scuro,compatto,vegetale,tutto_anno,globale,industriale,lavorato,100.0,365.0,18.0,1.4,598.0,25.0
Caffè in grani,Bevande,marrone,tostato,vegetale,tutto_anno,tropicale,tradizionale,tostato,500.0,180.0,22.0,2.8,0.0,0.0
Vino Rosso,Bevande,rosso_rubino,liquido,vegetale,tutto_anno,locale,tradizionale,fermentato,750.0,1095.0,8.0,86.0,85.0,0.0
Birra Chiara,Bevande,giallo_dorato,liquido,vegetale,tutto_anno,locale,industriale,fermentato,330.0,365.0,3.0,91.9,43.0,110.0
